Country Name,IFS id,Year,Portfolio equity assets (stock),Portfolio equity liabilities (stock),FDI assets (stock),FDI liabilities (stock),Debt assets (stock),Debt liabilities (stock),financial derivatives (assets),financial derivatives (liab),FX Reserves minus gold,Total assets,Total liabilities,NFA,OFFICIAL IIP,NFA (alternative FDI or equity valuation),GDP (US$),NFA/GDP,current account (IFS or WEO),capital account balance,Portfolio debt assets,Portfolio debt liabilities,Other investment assets,Other investment liabilities,FDI assets (other),FDI liabilities (other),Exchange rate (period avg),Exchange rate (end of period),1.000000000000000
"Afghanistan, I.R. of",512,1970,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5291.000000000000000
"Afghanistan, I.R. of",512,1971,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5292.000000000000000
"Afghanistan, I.R. of",512,1972,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5293.000000000000000
"Afghanistan, I.R. of",512,1973,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5294.000000000000000
"Afghanistan, I.R. of",512,1974,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5295.000000000000000
"Afghanistan, I.R. of",512,1975,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5296.000000000000000
"Afghanistan, I.R. of",512,1976,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5297.000000000000000
"Afghanistan, I.R. of",512,1977,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5298.000000000000000
"Afghanistan, I.R. of",512,1978,,,,,,,,,,,,,,,,,,,,,,,,,433.547690461908000,438.433420435872000,5299.000000000000000
"Afghanistan, I.R. of",512,1979,,,,,,,,,,,,,,,,,-99.600000000000000,0.000000000000000,,,,,,,420.099683396654000,411.640266964791000,5300.000000000000000
